date,open,high,low,close,adj_close,volume
2012-01-03,1.258.859.985,1.284.619.995,1.258.859.985,1.277.060.059,1.277.060.059,3943710000
2012-01-04,1.277.030.029,1.278.729.980,1.268.099.976,1.277.300.049,1.277.300.049,3592580000
2012-01-05,1.277.300.049,1.283.050.049,1.265.260.010,1.281.060.059,1.281.060.059,4315950000
2012-01-06,1.280.930.054,1.281.839.966,1.273.339.966,1.277.810.059,1.277.810.059,3656830000
2012-01-09,1.277.829.956,1.281.989.990,1.274.550.049,1.280.699.951,1.280.699.951,3371600000
2012-01-10,1.280.770.020,1.296.459.961,1.280.770.020,1.292.079.956,1.292.079.956,4221960000
2012-01-11,1.292.020.020,1.293.800.049,1.285.410.034,1.292.479.980,1.292.479.980,3968120000
2012-01-12,1.292.479.980,1.296.819.946,1.285.770.020,1.295.500.000,1.295.500.000,4019890000
2012-01-13,1.294.819.946,1.294.819.946,1.277.579.956,1.289.089.966,1.289.089.966,3692370000
2012-01-17,1.290.219.971,1.303.000.000,1.290.219.971,1.293.670.044,1.293.670.044,4010490000
2012-01-18,1.293.650.024,1.308.109.985,1.290.989.990,1.308.040.039,1.308.040.039,4096160000
2012-01-19,1.308.069.946,1.315.489.990,1.308.069.946,1.314.500.000,1.314.500.000,4465890000
2012-01-20,1.314.489.990,1.315.380.005,1.309.170.044,1.315.380.005,1.315.380.005,3912620000
2012-01-23,1.315.290.039,1.322.280.029,1.309.890.015,1.316.000.000,1.316.000.000,3770910000
2012-01-24,1.315.959.961,1.315.959.961,1.306.060.059,1.314.650.024,1.314.650.024,3693560000
2012-01-25,1.314.400.024,1.328.300.049,1.307.650.024,1.326.060.059,1.326.060.059,4410910000
2012-01-26,1.326.280.029,1.333.469.971,1.313.599.976,1.318.430.054,1.318.430.054,4522070000
2012-01-27,1.318.250.000,1.320.060.059,1.311.719.971,1.316.329.956,1.316.329.956,4007380000
2012-01-30,1.316.160.034,1.316.160.034,1.300.489.990,1.313.010.010,1.313.010.010,3659010000
2012-01-31,1.313.530.029,1.321.410.034,1.306.689.941,1.312.410.034,1.312.410.034,4235550000
2012-02-01,1.312.449.951,1.330.520.020,1.312.449.951,1.324.089.966,1.324.089.966,4504360000
2012-02-02,1.324.239.990,1.329.189.941,1.321.569.946,1.325.540.039,1.325.540.039,4120920000
2012-02-03,1.326.209.961,1.345.339.966,1.326.209.961,1.344.900.024,1.344.900.024,4608550000
2012-02-06,1.344.319.946,1.344.359.985,1.337.520.020,1.344.329.956,1.344.329.956,3379700000
2012-02-07,1.344.329.956,1.349.239.990,1.335.920.044,1.347.050.049,1.347.050.049,3742460000
2012-02-08,1.347.040.039,1.351.000.000,1.341.949.951,1.349.959.961,1.349.959.961,4096730000
2012-02-09,1.349.969.971,1.354.319.946,1.344.630.005,1.351.949.951,1.351.949.951,4209890000
2012-02-10,1.351.209.961,1.351.209.961,1.337.349.976,1.342.640.015,1.342.640.015,3877580000
2012-02-13,1.343.060.059,1.353.349.976,1.343.060.059,1.351.770.020,1.351.770.020,3618040000
2012-02-14,1.351.300.049,1.351.300.049,1.340.829.956,1.350.500.000,1.350.500.000,3889520000
2012-02-15,1.350.520.020,1.355.869.995,1.340.800.049,1.343.229.980,1.343.229.980,4080340000
2012-02-16,1.342.609.985,1.359.020.020,1.341.219.971,1.358.040.039,1.358.040.039,4108880000
2012-02-17,1.358.060.059,1.363.400.024,1.357.239.990,1.361.229.980,1.361.229.980,3717640000
2012-02-21,1.361.219.971,1.367.760.010,1.358.109.985,1.362.209.961,1.362.209.961,3795200000
2012-02-22,1.362.109.985,1.362.699.951,1.355.530.029,1.357.660.034,1.357.660.034,3633710000
2012-02-23,1.357.530.029,1.364.239.990,1.352.280.029,1.363.459.961,1.363.459.961,3786450000
2012-02-24,1.363.459.961,1.368.920.044,1.363.459.961,1.365.739.990,1.365.739.990,3505360000
2012-02-27,1.365.199.951,1.371.939.941,1.354.920.044,1.367.589.966,1.367.589.966,3648890000
2012-02-28,1.367.560.059,1.373.089.966,1.365.969.971,1.372.180.054,1.372.180.054,3579120000
2012-02-29,1.372.199.951,1.378.040.039,1.363.810.059,1.365.680.054,1.365.680.054,4482370000
2012-03-01,1.365.900.024,1.376.170.044,1.365.900.024,1.374.089.966,1.374.089.966,3919240000
2012-03-02,1.374.089.966,1.374.530.029,1.366.420.044,1.369.630.005,1.369.630.005,3283490000
2012-03-05,1.369.589.966,1.369.589.966,1.359.130.005,1.364.329.956,1.364.329.956,3429480000
2012-03-06,1.363.630.005,1.363.630.005,1.340.030.029,1.343.359.985,1.343.359.985,4191060000
2012-03-07,1.343.390.015,1.354.849.976,1.343.390.015,1.352.630.005,1.352.630.005,3580380000
2012-03-08,1.352.650.024,1.368.719.971,1.352.650.024,1.365.910.034,1.365.910.034,3543060000
2012-03-09,1.365.969.971,1.374.760.010,1.365.969.971,1.370.869.995,1.370.869.995,3639470000
2012-03-12,1.370.780.029,1.373.040.039,1.366.689.941,1.371.089.966,1.371.089.966,3081870000
2012-03-13,1.371.920.044,1.396.130.005,1.371.920.044,1.395.949.951,1.395.949.951,4386470000
2012-03-14,1.395.949.951,1.399.420.044,1.389.969.971,1.394.280.029,1.394.280.029,4502280000
2012-03-15,1.394.170.044,1.402.630.005,1.392.780.029,1.402.599.976,1.402.599.976,4271650000
2012-03-16,1.402.550.049,1.405.880.005,1.401.469.971,1.404.170.044,1.404.170.044,5163950000
2012-03-19,1.404.170.044,1.414.000.000,1.402.430.054,1.409.750.000,1.409.750.000,3932570000
2012-03-20,1.409.589.966,1.409.589.966,1.397.680.054,1.405.520.020,1.405.520.020,3695280000
2012-03-21,1.405.520.020,1.407.750.000,1.400.640.015,1.402.890.015,1.402.890.015,3573590000
2012-03-22,1.402.890.015,1.402.890.015,1.388.729.980,1.392.780.029,1.392.780.029,3740590000
2012-03-23,1.392.780.029,1.399.180.054,1.386.869.995,1.397.109.985,1.397.109.985,3472950000
2012-03-26,1.397.109.985,1.416.579.956,1.397.109.985,1.416.510.010,1.416.510.010,3576950000
2012-03-27,1.416.550.049,1.419.150.024,1.411.949.951,1.412.520.020,1.412.520.020,3513640000
2012-03-28,1.412.520.020,1.413.650.024,1.397.199.951,1.405.540.039,1.405.540.039,3892800000
2012-03-29,1.405.390.015,1.405.390.015,1.391.560.059,1.403.280.029,1.403.280.029,3832000000
2012-03-30,1.403.310.059,1.410.890.015,1.401.420.044,1.408.469.971,1.408.469.971,3676890000
2012-04-02,1.408.469.971,1.422.380.005,1.404.459.961,1.419.040.039,1.419.040.039,3572010000
2012-04-03,1.418.979.980,1.419.000.000,1.404.619.995,1.413.380.005,1.413.380.005,3822090000
2012-04-04,1.413.089.966,1.413.089.966,1.394.089.966,1.398.959.961,1.398.959.961,3938290000
2012-04-05,1.398.790.039,1.401.599.976,1.392.920.044,1.398.079.956,1.398.079.956,3303740000
2012-04-09,1.397.449.951,1.397.449.951,1.378.239.990,1.382.199.951,1.382.199.951,3468980000
2012-04-10,1.382.180.054,1.383.010.010,1.357.380.005,1.358.589.966,1.358.589.966,4631730000
2012-04-11,1.358.979.980,1.374.709.961,1.358.979.980,1.368.709.961,1.368.709.961,3743040000
2012-04-12,1.368.770.020,1.388.130.005,1.368.770.020,1.387.569.946,1.387.569.946,3618280000
2012-04-13,1.387.609.985,1.387.609.985,1.369.849.976,1.370.260.010,1.370.260.010,3631160000
